crop_path,text,split,field_type,style_id,bias,source,category,vocab_bucket
crops/mixed_01164.png,9.84 DT,train,price,8,0.94,synthetic,Coffee,train
crops/mixed_00212.png,16.000,train,price,3,0.823,numbers,,
crops/mixed_00464.png,"4,50",train,price,10,0.770,numbers,,
crops/mixed_00560.png,50.00,train,price,9,0.605,numbers,,
crops/mixed_01296.png,Ginger Beer,train,name,0,0.41,synthetic,Soft Drinks,train
crops/mixed_00066.png,10.50,train,price,9,0.568,numbers,,
crops/mixed_00502.png,42,val,price,6,0.453,numbers,,
crops/mixed_00427.png,35,train,price,4,0.487,numbers,,
crops/mixed_00540.png,"5,00",test,price,7,0.509,numbers,,
crops/mixed_00402.png,"30,00",train,price,9,0.724,numbers,,
crops/mixed_00975.png,8.84,test,price,3,0.41,synthetic,Tea,train
crops/mixed_00852.png,90.00,train,price,0,0.860,numbers,,
crops/mixed_00222.png,"17,00",train,price,0,0.687,numbers,,
crops/mixed_00404.png,"30,00",train,price,8,0.317,numbers,,
crops/mixed_00303.png,"20,00",train,price,3,0.938,numbers,,
crops/mixed_01054.png,10.10 TND,train,price,9,0.73,synthetic,Tea,val
crops/mixed_00498.png,40.000,train,price,10,0.678,numbers,,
crops/mixed_01053.png,2.800 DT,train,price,5,0.93,synthetic,Sandwiches,val
crops/mixed_00659.png,"65,00",train,price,2,0.861,numbers,,
crops/mixed_00132.png,12.500,train,price,8,0.457,numbers,,
crops/mixed_00862.png,91,train,price,1,0.998,numbers,,
crops/mixed_00898.png,"99,00",train,price,3,0.821,numbers,,
crops/mixed_00869.png,92,train,price,5,0.735,numbers,,
crops/mixed_00455.png,4,test,price,7,0.405,numbers,,
crops/mixed_01020.png,3.090,test,price,3,0.68,synthetic,Sandwiches,train
crops/mixed_00015.png,1,train,price,12,0.903,numbers,,
crops/mixed_00795.png,84,val,price,6,0.365,numbers,,
crops/mixed_00793.png,83,train,price,12,0.562,numbers,,
crops/mixed_01156.png,11.680 dt,train,price,9,0.47,synthetic,Sandwiches,val
crops/mixed_00876.png,95,train,price,11,0.718,numbers,,
crops/mixed_00187.png,15,train,price,5,0.380,numbers,,
crops/mixed_00915.png,4.600,val,price,12,0.78,synthetic,Pastries,train
crops/mixed_00055.png,10.00,train,price,4,0.323,numbers,,
crops/mixed_00925.png,Scone,val,name,7,0.46,synthetic,Pastries,train
crops/mixed_01243.png,Ice Cream Scoop,train,name,11,0.94,synthetic,Desserts,train
crops/mixed_00667.png,65.000,train,price,3,0.488,numbers,,
crops/mixed_00628.png,"60,00",train,price,4,0.638,numbers,,
crops/mixed_01102.png,Chicken Salad,train,name,9,0.65,synthetic,Salads,train
crops/mixed_00711.png,70,train,price,11,0.618,numbers,,
crops/mixed_01091.png,TEA,train,header,1,0.65,synthetic,Tea,train
crops/mixed_00895.png,99,train,price,12,0.854,numbers,,
crops/mixed_00710.png,70,test,price,7,0.873,numbers,,
crops/mixed_00454.png,4,train,price,3,0.924,numbers,,
crops/mixed_00908.png,99.000,train,price,5,0.803,numbers,,
crops/mixed_00328.png,22.00,train,price,10,0.883,numbers,,
