crop_path,text,split,field_type,style_id,bias,category,vocab_bucket
crops\header_00000.png,COFFEE,val,header,7,0.9,Coffee,train
crops\header_00001.png,COFFEE,test,header,3,0.7,Coffee,train
crops\header_00002.png,COFFEE,train,header,0,0.79,Coffee,train
crops\header_00003.png,COFFEE,train,header,11,0.94,Coffee,train
crops\header_00004.png,COFFEE,train,header,2,0.76,Coffee,train
crops\header_00005.png,COFFEE,train,header,5,0.92,Coffee,train
crops\header_00006.png,COFFEE,test,header,10,0.64,Coffee,train
crops\header_00007.png,COFFEE,train,header,5,0.83,Coffee,train
crops\header_00008.png,COFFEE,train,header,11,0.53,Coffee,train
crops\header_00009.png,COFFEE,val,header,7,0.66,Coffee,train
crops\header_00010.png,COFFEE,train,header,2,0.74,Coffee,train
crops\header_00011.png,COFFEE,train,header,6,0.71,Coffee,train
crops\header_00012.png,COFFEE,train,header,6,0.51,Coffee,train
crops\header_00013.png,COFFEE,train,header,4,0.51,Coffee,train
crops\header_00014.png,COFFEE,train,header,1,0.94,Coffee,train
crops\header_00015.png,COFFEE,val,header,7,0.95,Coffee,train
crops\header_00016.png,COFFEE,train,header,5,0.42,Coffee,train
crops\header_00017.png,COFFEE,val,header,12,0.45,Coffee,train
crops\header_00018.png,COFFEE,test,header,10,0.65,Coffee,train
crops\header_00019.png,COFFEE,train,header,11,0.63,Coffee,train
crops\header_00020.png,COFFEE,val,header,12,0.41,Coffee,train
crops\header_00021.png,COFFEE,train,header,6,0.85,Coffee,train
crops\header_00022.png,COFFEE,val,header,7,0.89,Coffee,train
crops\name_00023.png,Espresso,train,name,1,0.66,Coffee,test
crops\name_00024.png,Espresso,train,name,1,0.88,Coffee,test
crops\name_00025.png,Espresso,train,name,6,0.84,Coffee,test
crops\name_00026.png,Espresso,train,name,5,0.82,Coffee,test
crops\name_00027.png,Espresso,test,name,10,0.71,Coffee,test
crops\name_00028.png,Espresso,train,name,4,0.92,Coffee,test
crops\name_00029.png,Espresso,val,name,12,0.65,Coffee,test
crops\name_00030.png,Espresso,train,name,5,0.59,Coffee,test
crops\name_00031.png,Espresso,train,name,11,0.4,Coffee,test
crops\name_00032.png,Espresso,train,name,0,0.93,Coffee,test
crops\name_00033.png,Espresso,train,name,8,0.72,Coffee,test
crops\name_00034.png,Espresso,train,name,5,0.63,Coffee,test
crops\name_00035.png,Espresso,train,name,9,0.63,Coffee,test
crops\name_00036.png,Espresso,val,name,7,0.51,Coffee,test
crops\name_00037.png,Espresso,train,name,6,0.5,Coffee,test
crops\name_00038.png,Espresso,val,name,7,0.82,Coffee,test
crops\name_00039.png,Espresso,train,name,8,0.74,Coffee,test
crops\name_00040.png,Espresso,train,name,1,0.55,Coffee,test
crops\name_00041.png,Espresso,train,name,4,0.88,Coffee,test
crops\name_00042.png,Espresso,train,name,1,0.63,Coffee,test
crops\name_00043.png,Espresso,train,name,11,0.83,Coffee,test
crops\name_00044.png,Espresso,train,name,2,0.71,Coffee,test
crops\name_00045.png,Espresso,train,name,4,0.48,Coffee,test
crops\price_00046.png,10,test,price,10,0.88,Coffee,test
crops\price_00047.png,10,train,price,11,0.9,Coffee,test
crops\price_00048.png,10,train,price,2,0.65,Coffee,test
crops\price_00049.png,10,train,price,11,0.52,Coffee,test
crops\price_00050.png,10,train,price,0,0.81,Coffee,test
crops\price_00051.png,10,train,price,6,0.65,Coffee,test
crops\price_00052.png,10,train,price,4,0.79,Coffee,test
crops\price_00053.png,10,train,price,9,0.62,Coffee,test
crops\price_00054.png,10,train,price,4,0.42,Coffee,test
crops\price_00055.png,10,train,price,4,0.68,Coffee,test
crops\price_00056.png,10,train,price,0,0.9,Coffee,test
crops\price_00057.png,10,train,price,9,0.44,Coffee,test
crops\price_00058.png,10,train,price,5,0.95,Coffee,test
crops\price_00059.png,10,train,price,8,0.75,Coffee,test
crops\price_00060.png,10,train,price,11,0.69,Coffee,test
crops\price_00061.png,10,test,price,10,0.56,Coffee,test
crops\price_00062.png,10,train,price,2,0.85,Coffee,test
crops\price_00063.png,10,train,price,1,0.47,Coffee,test
crops\price_00064.png,10,train,price,5,0.73,Coffee,test
crops\price_00065.png,10,test,price,3,0.71,Coffee,test
crops\price_00066.png,10,train,price,11,0.51,Coffee,test
crops\price_00067.png,10,train,price,4,0.59,Coffee,test
crops\price_00068.png,10,test,price,3,0.42,Coffee,test
crops\name_00069.png,Double Espresso,val,name,7,0.64,Coffee,train
crops\name_00070.png,Double Espresso,train,name,8,0.84,Coffee,train
crops\name_00071.png,Double Espresso,train,name,9,0.88,Coffee,train
crops\name_00072.png,Double Espresso,train,name,11,0.83,Coffee,train
crops\name_00073.png,Double Espresso,train,name,4,0.59,Coffee,train
crops\name_00074.png,Double Espresso,test,name,3,0.68,Coffee,train
crops\name_00075.png,Double Espresso,train,name,8,0.66,Coffee,train
crops\name_00076.png,Double Espresso,train,name,0,0.41,Coffee,train
crops\name_00077.png,Double Espresso,val,name,12,0.69,Coffee,train
crops\name_00078.png,Double Espresso,train,name,9,0.77,Coffee,train
crops\name_00079.png,Double Espresso,train,name,9,0.49,Coffee,train
crops\name_00080.png,Double Espresso,val,name,7,0.47,Coffee,train
crops\name_00081.png,Double Espresso,train,name,1,0.7,Coffee,train
crops\name_00082.png,Double Espresso,train,name,9,0.61,Coffee,train
crops\name_00083.png,Double Espresso,train,name,5,0.94,Coffee,train
crops\name_00084.png,Double Espresso,train,name,5,0.66,Coffee,train
crops\name_00085.png,Double Espresso,test,name,10,0.59,Coffee,train
crops\name_00086.png,Double Espresso,train,name,1,0.72,Coffee,train
crops\name_00087.png,Double Espresso,train,name,6,0.75,Coffee,train
crops\name_00088.png,Double Espresso,test,name,3,0.82,Coffee,train
crops\name_00089.png,Double Espresso,train,name,9,0.79,Coffee,train
crops\name_00090.png,Double Espresso,test,name,3,0.79,Coffee,train
crops\name_00091.png,Double Espresso,train,name,6,0.77,Coffee,train
crops\price_00092.png,10,train,price,11,0.85,Coffee,train
crops\price_00093.png,10,train,price,1,0.71,Coffee,train
crops\price_00094.png,10,val,price,12,0.9,Coffee,train
crops\price_00095.png,10,test,price,3,0.76,Coffee,train
crops\price_00096.png,10,train,price,8,0.45,Coffee,train
crops\price_00097.png,10,train,price,5,0.94,Coffee,train
crops\price_00098.png,10,train,price,0,0.63,Coffee,train
crops\price_00099.png,10,train,price,0,0.64,Coffee,train
crops\price_00100.png,10,test,price,3,0.92,Coffee,train
crops\price_00101.png,10,val,price,7,0.83,Coffee,train
crops\price_00102.png,10,train,price,0,0.76,Coffee,train
crops\price_00103.png,10,train,price,0,0.4,Coffee,train
crops\price_00104.png,10,train,price,0,0.67,Coffee,train
crops\price_00105.png,10,train,price,6,0.65,Coffee,train
crops\price_00106.png,10,train,price,0,0.41,Coffee,train
crops\price_00107.png,10,train,price,6,0.64,Coffee,train
crops\price_00108.png,10,train,price,1,0.64,Coffee,train
crops\price_00109.png,10,train,price,4,0.89,Coffee,train
crops\price_00110.png,10,train,price,8,0.88,Coffee,train
crops\price_00111.png,10,train,price,9,0.65,Coffee,train
crops\price_00112.png,10,train,price,2,0.75,Coffee,train
crops\price_00113.png,10,train,price,6,0.75,Coffee,train
crops\price_00114.png,10,train,price,2,0.42,Coffee,train
crops\name_00115.png,Americano,train,name,2,0.48,Coffee,val
crops\name_00116.png,Americano,val,name,12,0.93,Coffee,val
crops\name_00117.png,Americano,train,name,6,0.94,Coffee,val
crops\name_00118.png,Americano,train,name,6,0.85,Coffee,val
